{'academic_degree': 'Доктор наук', 'address': 'Аллея Плетешковская 439', 'age': 18, 'passport_number': 102808, 'snils': '00060862696', 'telephone': '+7-(968)-542-59-85', 'university': 'Госуниверситет нефти и газа имени Губкина', 'weight': 87, 'worldview': 'Пантеизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Парковая 16-я 1033', 'age': 18, 'passport_number': 921807, 'snils': '91329536814', 'telephone': '+7-(909)-264-74-47', 'university': 'Государственный технологический университет им. К.Э. Циолковского', 'weight': 82, 'worldview': 'Деизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Печорская 25', 'age': 18, 'passport_number': 854960, 'snils': '55709404405', 'telephone': '+7-(936)-075-83-76', 'university': 'Санкт-Петербургский государственный архитектурно-строительный университет', 'weight': 86, 'worldview': 'Конфуцианство'}
{'academic_degree': 'Специалист', 'address': 'ул. Петроверигская 1014', 'age': 18, 'passport_number': 479062, 'snils': '62622545681', 'telephone': '+7-(999)-057-00-72', 'university': 'Ульяновский высший авиационный институт гражданской авиации', 'weight': 73, 'worldview': 'Буддизм'}
{'academic_degree': 'Бакалавр', 'address': 'ул. Поликарпова 516', 'age': 18, 'passport_number': 708073, 'snils': '89344492357', 'telephone': '+7-(923)-049-68-54', 'university': 'Филиал Российской академии правосудия', 'weight': 75, 'worldview': 'Католицизм'}
{'academic_degree': 'Доктор наук', 'address': 'Аллея Интернациональная 1144', 'age': 18, 'passport_number': 241178, 'snils': '62187555912', 'telephone': '+7-(922)-610-30-43', 'university': 'СПбГУ', 'weight': 72, 'worldview': 'Иудаизм'}
{'academic_degree': 'Кандидат наук', 'address': 'Аллея Рубцовская 1174', 'age': 18, 'passport_number': 457174, 'snils': '60732884498', 'telephone': '+7-(969)-090-59-78', 'university': 'Университет аэрокосмического приборостроения', 'weight': 74, 'worldview': 'Деизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Свободной России 386', 'age': 18, 'passport_number': 372652, 'snils': '76392249335', 'telephone': '+7-(999)-295-70-92', 'university': 'Государственная морская академия имени адмирала С.О. Макарова', 'weight': 64, 'worldview': 'Агностицизм'}
{'academic_degree': 'Бакалавр', 'address': 'Аллея Новый Арбат 1038', 'age': 18, 'passport_number': 855967, 'snils': '31309041620', 'telephone': '+7-(918)-508-09-59', 'university': 'Санкт-Петербургский государственный политехнический университет', 'weight': 57, 'worldview': 'Католицизм'}
{'academic_degree': 'Доктор наук', 'address': 'ул. Маршала Рокоссовского 366', 'age': 18, 'passport_number': 571449, 'snils': '65665162122', 'telephone': '+7-(919)-874-50-24', 'university': 'Госуниверситет гражданской авиации', 'weight': 43, 'worldview': 'Агностицизм'}
{'academic_degree': 'Магистр', 'address': 'ул. Иверская 781', 'age': 18, 'passport_number': 210013, 'snils': '95888933720', 'telephone': '+7-(928)-488-71-29', 'university': 'Авиационно-технический университетАвиационно-технический университет', 'weight': 90, 'worldview': 'Иудаизм'}
{'academic_degree': 'Кандидат наук', 'address': 'ул. Институтская 3-я 27', 'age': 18, 'passport_number': 300121, 'snils': '95409517130', 'telephone': '+7-(932)-438-89-77', 'university': 'Университет аэрокосмического приборостроения', 'weight': 73, 'worldview': 'Агностицизм'}
{'academic_degree': 'Специалист', 'address': 'Аллея Пролетарского Входа 908', 'age': 18, 'passport_number': 119408, 'snils': '83122233552', 'telephone': '+7-(925)-957-41-02', 'university': 'МГУ им. Ломоносова', 'weight': 56, 'worldview': 'Агностицизм'}
